Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
1944,35,119,0.04,0.4,-0.3,1.327200786602876
516,16,116,0.04,0.46,-0.23,1.3271439935574518
515,16,115,0.04,0.46,-0.23,1.3271439935574516
1269,26,119,0.04,0.42,-0.27,1.3265749782509055
2436,42,86,0.03,0.4,-0.26,1.3265206852089013
2283,40,83,0.03,0.4,-0.26,1.3264243956844912
407,15,82,0.04,0.47,-0.23,1.3263091415892336
1368,28,68,0.04,0.43,-0.28,1.326305756027045
1000,23,75,0.04,0.44,-0.26,1.3262941517741897
2071,37,96,0.03,0.41,-0.27,1.3262726163958458
961,22,111,0.04,0.44,-0.25,1.326243505448512
82,11,57,0.04,0.48,-0.15,1.326229312518006
2130,38,80,0.03,0.41,-0.27,1.3261123684289815
1001,23,76,0.04,0.44,-0.25,1.3260497813968066
2242,39,117,0.03,0.4,-0.3,1.3258912826179239
931,22,81,0.04,0.45,-0.25,1.3258474633964918
399,15,74,0.04,0.47,-0.22,1.3258309511210982
2374,41,99,0.03,0.39,-0.3,1.325673954189976
400,15,75,0.04,0.47,-0.22,1.3256556151662453
2800,47,75,0.03,0.4,-0.26,1.3255763926927067
1748,33,73,0.03,0.42,-0.3,1.3255602246926181
1393,28,93,0.04,0.43,-0.24,1.325520389158937
959,22,109,0.04,0.44,-0.25,1.3254642290240888
1467,29,92,0.04,0.43,-0.24,1.325319738304567
553,17,78,0.04,0.46,-0.23,1.3248297276967176
1384,28,84,0.04,0.43,-0.27,1.3246134190720733
13,10,63,0.04,0.47,-0.19,1.3244318088973306
2949,49,74,0.03,0.4,-0.26,1.3241759155031136
1538,30,88,0.04,0.42,-0.25,1.3240614494090988
1539,30,89,0.04,0.42,-0.25,1.3240614494090985
1452,29,77,0.03,0.43,-0.26,1.3238914394772967
2944,49,69,0.03,0.4,-0.27,1.3236918725045195
2070,37,95,0.03,0.4,-0.27,1.3236500378160712
1929,35,104,0.04,0.41,-0.26,1.3234887499114398
1036,23,111,0.04,0.43,-0.25,1.3234329072351
1098,24,98,0.04,0.43,-0.25,1.3233608234206131
761,20,61,0.04,0.44,-0.26,1.323087289386911
1025,23,100,0.04,0.44,-0.23,1.322520960948549
395,15,70,0.04,0.46,-0.25,1.322236560646481
2456,42,106,0.03,0.39,-0.3,1.3221753624499384
1558,30,108,0.04,0.41,-0.27,1.3220465423433565
524,16,124,0.04,0.45,-0.25,1.3220203975223563
1035,23,110,0.04,0.43,-0.25,1.3220124540735518
2648,45,73,0.03,0.4,-0.26,1.3219649307094774
651,18,101,0.04,0.45,-0.24,1.3219307196006034
700,19,75,0.04,0.45,-0.25,1.3218919620473875
1026,23,101,0.04,0.44,-0.23,1.321880435994794
2129,38,79,0.03,0.41,-0.27,1.3218163002504573
1159,25,84,0.04,0.43,-0.24,1.3217762384990568
1043,23,118,0.04,0.43,-0.26,1.3217754622548248
2531,43,106,0.03,0.39,-0.3,1.3217359637316155
2947,49,72,0.03,0.4,-0.26,1.3216291004565686
887,21,112,0.04,0.43,-0.25,1.3211433150686267
1041,23,116,0.04,0.43,-0.26,1.3211308819290308
1705,32,105,0.03,0.41,-0.27,1.32112889840281
586,17,111,0.04,0.45,-0.22,1.3205692548827965
2144,38,94,0.03,0.4,-0.27,1.3205682799165601
1307,27,82,0.03,0.43,-0.25,1.320245420929423
2126,38,76,0.03,0.41,-0.24,1.3201677717402387
1704,32,104,0.03,0.41,-0.27,1.3199475892551271
2313,40,113,0.03,0.39,-0.3,1.3198207727411988
1086,24,86,0.04,0.43,-0.24,1.319702802299648
800,20,100,0.04,0.44,-0.21,1.3196416587143547
951,22,101,0.04,0.43,-0.23,1.3195822718846075
1114,24,114,0.04,0.43,-0.26,1.31945822158353
1113,24,113,0.04,0.43,-0.26,1.31945822158353
1525,30,75,0.03,0.41,-0.25,1.3193143747334182
1985,36,85,0.03,0.4,-0.28,1.3192981075443153
1068,24,68,0.03,0.43,-0.27,1.319258365504202
2500,43,75,0.03,0.4,-0.26,1.3191598085267955
2458,42,108,0.03,0.38,-0.3,1.3191428662289164
2457,42,107,0.03,0.38,-0.3,1.3191428662289164
2132,38,82,0.03,0.4,-0.27,1.3191334002279196
726,19,101,0.04,0.44,-0.24,1.3191250406638761
1469,29,94,0.03,0.42,-0.24,1.3190553493498782
1470,29,95,0.03,0.42,-0.24,1.3190553493498782
796,20,96,0.04,0.44,-0.24,1.3188848296058648
1009,23,84,0.03,0.43,-0.2,1.3188066312124638
1397,28,97,0.03,0.42,-0.23,1.3187370034224244
338,14,88,0.04,0.46,-0.22,1.318713543507797
2530,43,105,0.03,0.38,-0.3,1.3186926868916389
1989,36,89,0.03,0.4,-0.28,1.318657569598066
1990,36,90,0.03,0.4,-0.28,1.3186575695980658
2649,45,74,0.03,0.4,-0.26,1.3184761413065393
1234,26,84,0.03,0.42,-0.24,1.3184247207583277
2205,39,80,0.03,0.4,-0.27,1.3180834474047356
468,16,68,0.03,0.45,-0.26,1.3179733239732285
2874,48,74,0.03,0.4,-0.26,1.317877886975901
1034,23,109,0.04,0.43,-0.25,1.3178669630527655
842,21,67,0.03,0.43,-0.27,1.3178187825950922
555,17,80,0.04,0.45,-0.23,1.317739006017413
